Episode,Score,Epsilon,MaxTile
246,384.34,0.2319,256
247,233.76,0.2308,64
248,337.26,0.2296,256
249,81.76,0.2285,32
250,260.82,0.2273,128
251,136.49,0.2262,64
252,143.22,0.2251,64
253,264.63,0.224,128
254,234.07,0.2228,128
255,268.82,0.2217,128
256,330.55,0.2206,128
257,227.48,0.2195,64
258,112.31,0.2184,32
259,103.02,0.2173,32
260,304.57,0.2162,128
261,173.85,0.2151,64
262,191.54,0.2141,64
263,151.66,0.213,64
264,176.7,0.2119,64
265,100.54,0.2109,64
266,233.08,0.2098,128
267,180.76,0.2088,64
268,215.32,0.2077,128
269,139.87,0.2067,64
270,233.08,0.2057,128
271,261.37,0.2046,128
272,226.25,0.2036,128
273,179.4,0.2026,128
274,151.4,0.2016,64
275,120.77,0.2006,64
276,242.43,0.1996,256
277,273.49,0.1986,128
278,221.08,0.1976,128
279,254.35,0.1966,128
280,124.93,0.1956,64
281,304.75,0.1946,128
282,212.16,0.1937,128
283,256.97,0.1927,256
284,296.45,0.1917,256
285,137.7,0.1908,64
286,183.49,0.1898,128
287,138.17,0.1889,32
288,100.09,0.1879,32
289,156.9,0.187,64
290,212.46,0.186,128
291,341.39,0.1851,256
292,202.05,0.1842,128
293,286.66,0.1833,128
294,248.08,0.1823,128
295,391.21,0.1814,256
296,203.45,0.1805,64
297,265.99,0.1796,256
298,132.14,0.1787,64
299,170.92,0.1778,128
300,209.64,0.1769,128
301,196.8,0.1761,64
302,302.19,0.1752,128
303,214.52,0.1743,64
304,164.24,0.1734,64
305,136.75,0.1726,64
306,215.83,0.1717,128
307,353.25,0.1708,256
308,282.08,0.17,128
309,203.15,0.1691,128
310,216.78,0.1683,128
311,124.74,0.1675,64
312,234.45,0.1666,128
313,139.44,0.1658,64
314,261.52,0.165,128
315,110.65,0.1641,32
316,315.38,0.1633,128
317,150.18,0.1625,64
318,242.83,0.1617,256
319,148.22,0.1609,64
320,257.89,0.1601,128
321,233.64,0.1593,128
322,145.97,0.1585,64
323,158.0,0.1577,64
324,129.09,0.1569,64
325,143.85,0.1561,64
326,156.31,0.1553,64
327,184.65,0.1545,64
328,272.29,0.1538,128
329,257.88,0.153,128
330,218.99,0.1522,128
331,257.09,0.1515,64
332,145.73,0.1507,64
333,17.46,0.15,32
334,106.31,0.1492,32
335,152.98,0.1485,64
336,117.04,0.1477,64
337,132.02,0.147,128
338,257.17,0.1463,128
339,50.69,0.1455,64
340,276.0,0.1448,128
341,153.65,0.1441,64
342,113.9,0.1434,128
343,200.78,0.1426,128
344,236.65,0.1419,128
345,121.98,0.1412,64
346,326.71,0.1405,128
347,226.99,0.1398,128
348,229.94,0.1391,128
349,243.39,0.1384,128
350,244.53,0.1377,128
351,167.02,0.137,64
352,132.95,0.1363,64
353,129.53,0.1357,64
354,209.34,0.135,128
355,189.51,0.1343,64
356,187.38,0.1336,128
357,290.07,0.133,128
358,97.45,0.1323,64
359,163.29,0.1316,64
360,176.59,0.131,64
361,247.33,0.1303,128
362,258.22,0.1297,128
363,153.4,0.129,64
364,52.09,0.1284,32
365,120.02,0.1277,64
366,148.64,0.1271,64
367,238.24,0.1265,128
368,209.33,0.1258,128
369,225.81,0.1252,128
370,164.52,0.1246,64
371,200.61,0.124,64
372,249.73,0.1233,128
373,200.1,0.1227,128
374,189.8,0.1221,64
375,108.47,0.1215,64
376,82.55,0.1209,32
377,158.15,0.1203,64
378,250.87,0.1197,128
379,219.02,0.1191,128
380,197.35,0.1185,128
381,231.78,0.1179,128
382,221.21,0.1173,64
383,108.3,0.1167,32
384,134.1,0.1161,64
385,256.51,0.1156,128
386,157.34,0.115,64
387,119.4,0.1144,64
388,136.45,0.1138,64
389,168.94,0.1133,64
390,222.61,0.1127,128
391,285.66,0.1121,128
392,143.4,0.1116,128
393,132.6,0.111,64
394,201.27,0.1105,128
395,147.17,0.1099,64
396,164.53,0.1094,128
397,112.56,0.1088,64
398,143.7,0.1083,64
399,148.7,0.1077,128
400,90.87,0.1072,64
401,249.96,0.1067,64
402,192.76,0.1061,128
403,273.04,0.1056,128
404,193.95,0.1051,128
405,183.35,0.1045,64
406,232.11,0.104,128
407,226.05,0.1035,128
408,261.3,0.103,128
409,132.39,0.1025,64
410,116.72,0.1019,64
411,135.98,0.1014,64
412,293.68,0.1009,128
413,135.51,0.1004,64
414,125.01,0.0999,64
415,186.83,0.0994,64
416,121.8,0.0989,128
417,215.11,0.0984,128
418,59.03,0.0979,32
419,207.71,0.0975,128
420,88.77,0.097,64
421,141.61,0.0965,64
422,317.7,0.096,256
423,90.05,0.0955,64
424,191.02,0.095,128
425,179.5,0.0946,128
426,68.04,0.0941,64
427,240.31,0.0936,128
428,94.14,0.0932,64
429,130.26,0.0927,64
430,265.42,0.0922,128
431,255.88,0.0918,128
432,49.13,0.0913,32
433,114.73,0.0908,64
434,228.05,0.0904,128
435,315.48,0.0899,256
436,142.43,0.0895,64
437,229.83,0.089,128
438,156.7,0.0886,64
439,266.46,0.0882,256
440,190.37,0.0877,128
441,183.88,0.0873,64
442,154.19,0.0868,64
443,185.92,0.0864,64
444,178.87,0.086,64
445,250.1,0.0855,128
446,152.71,0.0851,64
447,290.63,0.0847,128
448,218.18,0.0843,256
449,58.51,0.0838,64
450,138.09,0.0834,64
451,118.48,0.083,64
452,275.33,0.0826,128
453,237.22,0.0822,128
454,162.41,0.0818,128
455,153.75,0.0814,64
456,71.9,0.081,32
457,289.16,0.0805,128
458,107.03,0.0801,64
459,98.8,0.0797,64
460,72.8,0.0793,64
461,262.93,0.079,128
462,60.6,0.0786,128
463,205.42,0.0782,128
464,160.3,0.0778,64
465,210.05,0.0774,64
466,217.22,0.077,128
467,267.97,0.0766,128
468,65.88,0.0762,64
469,171.2,0.0758,64
470,104.06,0.0755,64
471,180.8,0.0751,128
472,7.84,0.0747,64
473,236.59,0.0743,256
474,178.47,0.074,128
475,96.62,0.0736,128
476,257.0,0.0732,128
477,82.61,0.0729,32
478,183.05,0.0725,128
479,136.7,0.0721,64
480,202.07,0.0718,64
481,219.02,0.0714,128
482,299.99,0.0711,128
483,17.62,0.0707,64
484,152.0,0.0704,64
485,152.47,0.07,64
486,66.6,0.0697,64
487,79.5,0.0693,32
488,306.38,0.069,128
489,224.46,0.0686,128
490,117.36,0.0683,64
491,45.26,0.0679,64
492,152.14,0.0676,128
493,146.16,0.0672,128
494,142.89,0.0669,64
495,293.31,0.0666,128
496,206.89,0.0662,128
497,183.91,0.0659,64
498,55.88,0.0656,64
499,221.98,0.0653,128
500,139.39,0.0649,64
501,219.12,0.0646,128
502,147.01,0.0643,128
503,243.01,0.064,128
504,162.19,0.0636,128
505,166.36,0.0633,128
506,155.6,0.063,64
507,134.29,0.0627,128
508,99.41,0.0624,64
509,218.0,0.0621,128
510,239.27,0.0618,128
511,140.91,0.0614,64
512,83.38,0.0611,128
513,79.22,0.0608,64
514,163.51,0.0605,64
515,153.2,0.0602,128
516,79.52,0.0599,64
517,135.67,0.0596,64
518,100.92,0.0593,128
519,208.69,0.059,256
520,158.76,0.0587,128
521,73.95,0.0584,128
522,189.76,0.0582,128
523,144.45,0.0579,64
524,162.86,0.0576,64
525,218.82,0.0573,128
526,96.43,0.057,32
527,-16.41,0.0567,128
528,132.85,0.0564,128
529,233.44,0.0561,128
530,140.69,0.0559,128
531,249.77,0.0556,128
532,183.4,0.0553,128
533,292.33,0.055,128
534,108.35,0.0548,128
535,73.05,0.0545,32
536,108.84,0.0542,64
537,188.56,0.0539,64
538,161.26,0.0537,64
539,74.69,0.0534,128
540,372.36,0.0531,256
541,-70.18,0.0529,128
542,193.45,0.0526,128
543,249.21,0.0523,128
544,187.91,0.0521,64
